Gene	Gene set name	Category
GRMZM2G470452	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM5G899390	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G007848	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G017792	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G048455	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G053987	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G062761	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G062914	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G089484	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G122335	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G123886	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G127141	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G163861	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G306028	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
GRMZM2G374088	KEGG_ADRENERGIC_SIGNALING_IN_CARDIOMYOCYTES	KEGG
AC197672.3_FG002	KEGG_AFLATOXIN_BIOSYNTHESIS	KEGG
GRMZM2G377341	KEGG_AFLATOXIN_BIOSYNTHESIS	KEGG
GRMZM5G858094	KEGG_AFLATOXIN_BIOSYNTHESIS	KEGG
AC197672.3_FG002	KEGG_AFLATOXIN_BIOSYNTHESIS	KEGG
GRMZM2G132647	KEGG_AFLATOXIN_BIOSYNTHESIS	KEGG
GRMZM2G377341	KEGG_AFLATOXIN_BIOSYNTHESIS	KEGG
GRMZM2G445588	KEGG_AFLATOXIN_BIOSYNTHESIS	KEGG
GRMZM5G800518	KEGG_AFLATOXIN_BIOSYNTHESIS	KEGG
GRMZM5G841557	KEGG_AFLATOXIN_BIOSYNTHESIS	KEGG
GRMZM5G858094	KEGG_AFLATOXIN_BIOSYNTHESIS	KEGG
GRMZM2G151887	KEGG_AFLATOXIN_BIOSYNTHESIS	KEGG
GRMZM2G347808	KEGG_AFLATOXIN_BIOSYNTHESIS	KEGG
GRMZM2G050914	KEGG_AFRICAN_TRYPANOSOMIASIS	KEGG
GRMZM2G090070	KEGG_AFRICAN_TRYPANOSOMIASIS	KEGG
GRMZM5G863784	KEGG_AFRICAN_TRYPANOSOMIASIS	KEGG
GRMZM2G065665	KEGG_AFRICAN_TRYPANOSOMIASIS	KEGG
GRMZM2G089948	KEGG_AFRICAN_TRYPANOSOMIASIS	KEGG
GRMZM2G103266	KEGG_AFRICAN_TRYPANOSOMIASIS	KEGG
GRMZM2G345977	KEGG_AFRICAN_TRYPANOSOMIASIS	KEGG
