Gene	Gene set name	Category
LOC_Os06g04620	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os06g12600	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os06g13810	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os06g22060	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os06g28194	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os06g40640	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os06g44260	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os06g44270	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os06g45370	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os07g09890	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os07g26540	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os07g47290	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os08g02120	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os08g02700	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os08g25720	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os08g34050	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os08g43190	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os09g22090	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os09g24910	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os09g30240	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os09g36450	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os10g26570	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
LOC_Os11g07020	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG
